"#","Course Name","Group / Batch","Reflection Question 1","Reflection Question 2","Reflection Question 3","Notes","Done?","check for cnd (dont touch)"
"111","Difficult Cesarean Section","Batch 8","Have you performed or assisted with a difficult caesarean — previous scarring, morbid adhesions, or abnormal placentation? What was the most challenging part?","How does your team prepare for and manage the risk of a difficult caesarean in your setting, and what support systems are in place?","","","FALSE","FALSE"
"112","Basic Cesarean Section","Batch 8","Think about the first caesarean section you performed or assisted with. What felt most unfamiliar, and how has your confidence grown since?","How do you ensure safety for both mother and baby during a caesarean in your setting, especially when things don't go as planned?","","","FALSE","FALSE"
"113","Basic Burn Management","Batch 8","Think of a patient with burns who came to your facility. What was your first priority, and how did you assess the severity of their injury?","What are the most common mistakes in early burn management that you've seen in your practice, and how do you try to prevent them?","","","FALSE","FALSE"
"114","Introduction to C-Arm Imaging and Radiation Safety in the Operating Room","Batch 9","How familiar were you with radiation safety practices before this course, and what is one thing you will change in your daily use of the C-arm?","How does your team currently manage radiation exposure in the operating room — do people wear dosimeters, and is protective equipment consistently used?","","","FALSE","FALSE"
"115","WHO Surgical Safety Checklist","Batch 9","How is the WHO Surgical Safety Checklist used in your operating room — is it performed as intended, or has it become routine without real engagement?","Have you ever seen the checklist catch something that could have led to harm? What happened, and how did it affect your team's attitude toward it?","","","FALSE","FALSE"
"116","Strategies for Implementing Reliable Systems","Batch 9","Think of a system in your workplace that frequently fails or is inconsistently followed. What do you think is the root cause, and how might you redesign it?","Have you ever tried to introduce a new process or protocol in your setting? What made it succeed or fail?","","","FALSE","FALSE"
"117","Safety Culture – Fundamentals of Patient Safety 2024","Batch 9","How would you describe the safety culture in your workplace — does your team feel comfortable reporting errors and near-misses without fear?","What is one specific thing you could do as an individual to help strengthen safety culture in your team, regardless of your role or seniority?","","","FALSE","FALSE"
"118","Medication Error Prevention – Fundamentals of Patient Safety 2024","Batch 9","Have you ever made or nearly made a medication error? What contributed to it, and what safeguards caught or could have caught it?","What changes to prescribing, dispensing, or administration processes in your facility would most reduce the risk of medication errors?","","","FALSE","FALSE"
"119","Interprofessional Communication – Fundamentals of Patient Safety 2024","Batch 9","Think of a situation where poor communication between professions — doctors, nurses, pharmacists — affected patient care. What went wrong, and what would have helped?","How well do different professional groups in your workplace communicate and collaborate, and what is one step you could take to improve it?","","","FALSE","FALSE"
"120","Error Analysis and Prevention – Fundamentals of Patient Safety 2024","Batch 9","Have you ever been involved in a root cause analysis or incident review? What did the process reveal that wasn't immediately obvious?","How does your facility respond when errors occur — is the focus on learning and system improvement, or on blame? How does that affect reporting?","","","FALSE","FALSE"
"121","Epidemiology – Fundamentals of Patient Safety 2024","Batch 9","Have you used epidemiological data in your clinical or public health practice? What did it reveal that changed how you approached a problem?","How are patient safety data and outcomes collected and used in your facility — and what would help you use them more effectively to improve care?","","","FALSE","FALSE"
"122","Communicating Effectively – Fundamentals of Patient Safety 2024","Batch 9","Think of a clinical miscommunication that led to — or nearly led to — patient harm. What would effective communication have looked like in that situation?","What is one communication habit or tool from this course that you want to start using in your practice, and what might get in the way?","","","FALSE","FALSE"
"123","C-Arm Intraoperative Imaging for Ankle Fractures","Batch 10","Have you used C-arm imaging for ankle fracture fixation? What did you find most challenging about obtaining and interpreting good intraoperative views?","How does access to intraoperative imaging in your setting affect the quality and confidence of your fracture reductions?","","","FALSE","FALSE"
"124","Surgical Instrument Testing and Inspection","Batch 10","Have you ever encountered a surgical instrument failure or malfunction during a procedure? What happened, and how was it managed?","What processes exist in your facility for instrument testing and inspection before procedures, and how consistently are they followed?","","","FALSE","FALSE"
"125","Esophageal Perforation","Batch 10","Have you managed a patient with oesophageal perforation? What was the most time-critical decision in their care?","How does your facility approach oesophageal perforation — are there clear pathways for surgical versus conservative management, and what determines the choice?","","","FALSE","FALSE"
"126","Obstetric Trauma","Batch 10","Have you managed obstetric trauma — from a road traffic accident, assault, or other cause? What aspect of care was most challenging?","How does your facility balance the needs of a pregnant trauma patient when maternal and fetal priorities may conflict?","","","FALSE","FALSE"
"127","Cardiac Trauma","Batch 10","Have you been involved in the management of cardiac trauma? What was the most critical step in the initial assessment?","What resources does your facility have for managing cardiac trauma — and what would you do if a patient presented with suspected cardiac injury and those resources weren't available?","","","FALSE","FALSE"
"128","Acute Mesenteric Ischemia","Batch 10","Have you managed a patient with acute mesenteric ischaemia? What made the diagnosis difficult, and how quickly were you able to act?","What factors in your setting — imaging availability, vascular surgical support, ICU capacity — most affect outcomes for patients with mesenteric ischaemia?","","","FALSE","FALSE"
"129","Informed Consent & Team Communication During Cesarean Section","Batch 11","How do you currently obtain informed consent for caesarean section in your setting — is there enough time, privacy, and support for the patient to make a truly informed decision?","Think of a case where communication within the team during a caesarean section broke down. What caused it, and what would have made it better?","","","FALSE","FALSE"
"130","Nursing Care Saves Lives","Draft Courses","Think of a patient outcome — good or bad — where nursing care made a decisive difference. What did nurses do (or not do) that shaped that outcome?","What do you think is the biggest gap between the nursing care your patients need and what is consistently delivered in your facility?","","","FALSE","FALSE"
"131","Acute and Chronic Pain","Draft Courses","How do you assess pain in your patients — do you feel confident that your assessment tools are capturing what patients are actually experiencing?","Have you cared for a patient with chronic pain who wasn't getting adequate relief? What barriers existed, and what would have helped?","","","FALSE","FALSE"
"132","Essential Surgical Skills","Draft Courses","Which surgical skill covered in this course do you feel most needs reinforcement in your own practice, and what would help you improve it?","How do you build and maintain surgical skills in your setting — through formal training, supervised practice, or another approach?","","","FALSE","FALSE"
"133","Management of Accidental Intra-Arterial Injections","Draft Courses","Have you ever been involved in a case of accidental intra-arterial injection? How was it recognised, and how was it managed?","What steps do you take in your practice to prevent accidental intra-arterial injections, and are these consistently followed by your team?","","","FALSE","FALSE"
"134","Implications of Anaesthesia on Cancer Surgery","Draft Courses","Has the type of anaesthesia — regional versus general — influenced decisions in cancer surgery in your practice? How was that conversation handled?","What do you think is the most underappreciated way in which anaesthesia can affect cancer outcomes, and how has this course changed your thinking?","","","FALSE","FALSE"
"135","Brainstem Reflexes During Neurosurgery: An Overview","Draft Courses","Have you monitored or been present during neurosurgery where brainstem reflexes were relevant? What was your role, and what did you observe?","How does your team communicate intraoperatively about neurophysiological changes — and what happens when an unexpected finding appears?","","","FALSE","FALSE"
"136","Prevention, Diagnosis, and Treatment of Fracture-Related Infections","Draft Courses","Have you managed a patient with a fracture-related infection? What made the diagnosis challenging, and what treatment approach did you use?","What risk factors for fracture-related infection are most common in your patient population, and what do you do to reduce them?","","","FALSE","FALSE"
"137","Distractions in the Operating Room","Draft Courses","Think of a time when a distraction in the operating room — noise, interruptions, unnecessary conversation — affected your focus. What was the impact?","What is the most common source of distraction in your operating room, and what practical steps could reduce it without disrupting team communication?","","","FALSE","FALSE"
"138","Cancer in the Context of Universal Health Coverage","Draft Courses","How does your patient population access cancer screening, diagnosis, and treatment — and where do the biggest gaps in coverage exist?","Think of a patient with cancer who faced barriers to treatment due to cost, geography, or lack of services. What did their journey look like, and what could have been different?","","","FALSE","FALSE"
"139","Wound Healing After Caesarean Section","Draft Courses","Have you managed a wound complication after caesarean section — infection, dehiscence, or poor healing? What factors contributed, and how was it treated?","How do you counsel patients before caesarean section about wound care and what to watch for after discharge?","","","FALSE","FALSE"
"140","Preoperative Assessment of Functional Capacity","Draft Courses","How do you currently assess a patient's functional capacity before surgery? What tools or questions do you find most useful in practice?","Have you ever cancelled or delayed a procedure because of concerns identified during preoperative functional assessment? What happened, and was the outcome better as a result?","","","FALSE","FALSE"
"141","Animal Bite and Insect Sting Injury","Draft Courses","Have you managed a patient with a serious animal bite or insect sting? What was the most critical decision in their initial management?","What is the most common animal bite or sting injury you see in your setting, and does your facility have the resources to manage severe reactions or infections?","","","FALSE","FALSE"
"142","Approach to Caesarean Section","Draft Courses","Think about a caesarean section that was more technically challenging than expected. What made it difficult, and how did you adapt your approach?","How do you make decisions about incision type and technique during caesarean section, and how does the clinical situation — urgency, previous scars, presentation — affect those choices?","","","FALSE","FALSE"
"143","Laparoscopic Appendectomy for Uncomplicated Appendicitis","Draft Courses","Have you performed laparoscopic appendectomy for uncomplicated appendicitis? How confident do you feel with the procedure, and what do you find most technically demanding?","How does your facility decide between laparoscopic and open appendectomy — and what factors in your setting influence that decision?","","","FALSE","FALSE"
"144","Laparoscopic Appendectomy for Complicated Appendicitis","Draft Courses","Have you managed complicated appendicitis laparoscopically — with perforation, abscess, or peritonitis? How did you approach the case, and when would you convert to open?","What are the biggest challenges in managing complicated appendicitis in your setting, and how do outcomes differ from uncomplicated cases?","","","FALSE","FALSE"
"145","Laparoscopic Cholecystectomy by Bangla Approach","Draft Courses","Have you used or observed the Bangla approach to laparoscopic cholecystectomy? How does it compare to your standard technique in terms of safety and ease?","What factors in your setting — equipment, training, patient anatomy — most affect the safety of laparoscopic cholecystectomy?","","","FALSE","FALSE"
"146","Laparoscopic Pyloromyotomy","Draft Courses","Have you performed or assisted with a laparoscopic pyloromyotomy? What was the most technically demanding part of the procedure?","How does your facility determine whether to approach pyloric stenosis laparoscopically or through open surgery, and what influences that decision?","","","FALSE","FALSE"
"147","Laparoscopic Repair of Inguinal Hernia","Draft Courses","Have you performed laparoscopic inguinal hernia repair? What do you find most technically challenging, and how does it compare to open repair in your practice?","How do you decide between TAPP and TEP approaches in your patients, and what factors — anatomy, previous surgery, resources — influence that decision?","","","FALSE","FALSE"
"148","Laparoscopy-Assisted Hydrostatic Reduction of Intussusception","Draft Courses","Have you managed a child with intussusception? How was the decision made between hydrostatic reduction and surgical intervention?","What resources does your facility have for managing intussusception in children, and what happens when imaging or non-operative reduction isn't available?","","","FALSE","FALSE"
"149","Laparoscopy-Assisted Orchiopexy","Draft Courses","Have you performed or observed laparoscopic orchiopexy? What is the most important factor in deciding the surgical approach for an undescended testis?","How does your setting handle the diagnosis and referral of children with undescended testes, and are there delays that affect outcomes?","","","FALSE","FALSE"
"150","Concomitant Brain and Spine Trauma","Draft Courses","Have you managed a patient with both brain and spinal cord injuries? How did you prioritise and coordinate their care?","What is the biggest challenge in your setting when managing polytrauma patients with neurological injuries — imaging, surgical capacity, or ICU support?","","","FALSE","FALSE"
"151","Perioperative Management of Patients Undergoing Orthopaedic Oncological Surgeries","Draft Courses","Have you been involved in the perioperative care of a patient undergoing orthopaedic tumour surgery? What made the anaesthetic or surgical management particularly complex?","What multidisciplinary support is available for orthopaedic oncology patients in your setting, and what gaps affect their care?","","","FALSE","FALSE"
"152","Burns: Resuscitation and Anaesthetic Management","Draft Courses","Have you provided anaesthesia for a patient with significant burns? What was the most challenging aspect of airway or haemodynamic management?","How does your facility approach the anaesthetic management of burn patients requiring multiple surgical procedures — what protocols or adaptations have you found most useful?","","","FALSE","FALSE"
"153","Abdominal Trauma","Draft Courses","Think of a patient with abdominal trauma you've managed. How was the decision made between operative and non-operative management?","What imaging and surgical resources does your facility have for abdominal trauma, and how do gaps in these resources affect patient outcomes?","","","FALSE","FALSE"
"154","Chest Trauma","Draft Courses","Think of a patient with significant chest trauma. What was your first clinical priority, and how did you assess for life-threatening injuries?","How does your facility manage tension pneumothorax, haemothorax, or flail chest — what works well, and where are the gaps?","","","FALSE","FALSE"
"155","Anaesthesia for Conflict Settings","Draft Courses","Have you provided anaesthesia in a resource-limited, austere, or conflict-affected environment? What adaptations did you have to make?","Which anaesthetic techniques and skills do you think are most essential when working in settings where standard equipment, drugs, or infrastructure may not be available?","","","FALSE","FALSE"
"156","Responding to Disaster","Draft Courses","Have you ever responded to a disaster or mass casualty event as part of a healthcare team? What was the biggest challenge in coordinating care?","How prepared do you feel — personally and as part of your team — to respond to a sudden disaster in your area? What training or resources would make the biggest difference?","","","FALSE","FALSE"
"157","Operative Techniques for Trauma Surgery","Draft Courses","Think of a trauma case where the operative technique you used was different from what you would have chosen in an elective setting. What drove that decision?","Which operative technique for trauma surgery do you feel least confident with in your current practice, and how do you seek guidance when you face it?","","","FALSE","FALSE"
"158","Orthopedic Trauma","Draft Courses","Have you managed a patient with complex orthopaedic trauma — multiple fractures, open injuries, or vascular compromise? What was your first priority?","How does your facility handle orthopaedic trauma cases requiring specialised implants or fixation — are these reliably available, and what happens when they're not?","","","FALSE","FALSE"
"159","Perioperative Management of Trauma Patients","Draft Courses","Think of a trauma patient you managed perioperatively. What aspect of their care — haemorrhage control, warming, coagulopathy management — was hardest to address?","How does your team approach damage control resuscitation and surgery for severely injured patients in your setting?","","","FALSE","FALSE"
"160","Ultrasound for Trauma","Draft Courses","Have you used FAST or extended FAST ultrasound in a trauma assessment? What did it change about your clinical decision-making?","Is point-of-care ultrasound reliably available in your emergency or trauma setting? If not, how does that affect how you manage undifferentiated shock?","","","FALSE","FALSE"
"161","A Comprehensive Approach to Financing Global Surgical Care","Draft Courses","Have you ever had a patient who couldn't access surgery because of cost? What happened to them, and how did it affect you as a clinician?","What do you think is the most important financial barrier to surgical access in your setting, and what advocacy or policy change would make the biggest difference?","","","FALSE","FALSE"
"162","Global Frugal Innovation Skills","Draft Courses","Have you ever adapted a piece of equipment or developed a workaround solution because of resource constraints? What was the problem, and what did you create or adapt?","What do you think is the most important quality for a healthcare innovator in a low-resource setting — creativity, persistence, collaboration, or something else?","","","FALSE","FALSE"
"163","template course (testing)","Batch 4","Have you ever adapted a piece of equipment or developed a workaround solution because of resource constraints? What was the problem, and what did you create or adapt?","What do you think is the most important quality for a healthcare innovator in a low-resource setting — creativity, persistence, collaboration, or something else?","","","FALSE","TRUE"
